show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,duration_int
4335,Movie,Break Up 100,Lawrence Cheng,Ekin Cheng,Hong Kong,2018-12-01,2014,TV-14,105 min,"Comedies, International Movies, Romantic Movies","After their 99th breakup, a career woman and her carefree partner open a cafe where customers can put up souvenirs of past relationships.",105
4336,Movie,Chal Bhaag,Prakash Balwant Saini,Deepak Dobriyal,India,2018-12-01,2014,TV-14,110 min,"Comedies, Dramas, International Movies",Three petty criminals find themselves in a pickle when police wrongly charge them with the murder of an important politician.,110
4337,Movie,Crossroads: One Two Jaga,Nam Ron,Zahiril Adzim,Malaysia,2018-12-01,2018,TV-14,81 min,"Dramas, International Movies","In Kuala Lumpur, an abused domestic worker tries to escape to Indonesia, while an idealistic cop insists on fighting corruption  – at a heavy price.",81
4338,Movie,Don't Go Breaking My Heart,Johnnie To,Louis Koo,Hong Kong,2018-12-01,2011,TV-PG,115 min,"Comedies, International Movies, Romantic Movies","A financial analyst succumbs to a love triangle with a hard-drinking architect and a promiscuous investment bro, who soon becomes her boss.",115
4339,Movie,Don't Go Breaking My Heart 2,Johnnie To,Louis Koo,"Hong Kong, China",2018-12-01,2014,TV-14,113 min,"Comedies, International Movies, Romantic Movies","Zixin is about to marry Qihong, but her gallivanting ex returns to wreak havoc as mistaken identities and love triangles stir up the lovers' paradise.",113
4340,Movie,Faraar,Baljit Singh Deo,Kainaat Arora,Australia,2018-12-01,2015,TV-14,146 min,"Action & Adventure, Dramas, International Movies","When a man is arrested on arrival in America because authorities mistake him for a wanted gangster, a new friend tries to help him prove his innocence.",146
4342,Movie,Helios,"Leung Lok Man, Luk Kim-ching",Jacky Cheung,"Hong Kong, China, United States",2018-12-01,2015,TV-14,118 min,"Action & Adventure, International Movies","When master criminal Helios steals a mobile WMD, rival agents from Hong Kong, South Korea and China must join forces to recover the device.",118
4343,Movie,Line Walker,Jazz Boon,Nick Cheung,"China, Hong Kong",2018-12-01,2016,TV-MA,109 min,"Action & Adventure, Dramas, International Movies",A Hong Kong intelligence officer tasked with finding undercover agents whose identities have been erased finds herself in the paths of rival triads.,109
4344,Movie,Look for a Star,Andrew Lau Wai-Keung,Andy Lau,Hong Kong,2018-12-01,2009,TV-14,117 min,"Comedies, International Movies, Romantic Movies","While keeping his identity secret, a real estate billionaire tries to woo an outspoken croupier who talks gamblers out of losing their money.",117
4346,Movie,Once a Gangster,Felix Chong,Ekin Cheng,Hong Kong,2018-12-01,2010,TV-MA,95 min,"Action & Adventure, Comedies, International Movies","Two former triads are tapped to run in an election for leader of the underworld, but both want normal lives. Each must outwit the other to lose.",95
4347,Movie,Power Paandi,Dhanush,Rajkiran,India,2018-12-01,2017,TV-MA,124 min,"Dramas, Independent Movies, International Movies","Retired, restless and constantly butting heads with his son, a former stuntman escapes on a road trip that becomes a journey to find his first love.",124
4349,Movie,SDU: Sex Duties Unit,Gary Mak,Chapman To,Hong Kong,2018-12-01,2013,TV-MA,96 min,"Comedies, International Movies",Four man-children in an elite tactical unit gallivant around Macau for a weekend of debauchery that gets them in trouble with the law.,96
4350,Movie,Set Off,Liu Jiang,Wenpei Ju,China,2018-12-01,2008,TV-MA,96 min,"Dramas, International Movies","When a restaurant owner in Cyprus returns to Beijing to sign divorce papers, a drunk woman he encounters triggers a string of mishaps.",96
4352,Movie,A Christmas Prince: The Royal Wedding,John Schultz,Rose McIver,United States,2018-11-30,2018,TV-PG,93 min,"Children & Family Movies, Dramas, Romantic Movies","A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol.",93
4353,Movie,Angela's Christmas,Damien O’Connor,Lucy O'Connell,"Ireland, Canada",2018-11-30,2018,TV-Y,30 min,Children & Family Movies,A trip to church with her family on Christmas Eve gives young Angela an extraordinary idea. A heartwarming tale based on a story by Frank McCourt.,30
4355,Movie,El club de los insomnes,"Joseduardo Giordano, Sergio Goyri Jr.",Cassandra Ciangherotti,Mexico,2018-11-30,2018,TV-MA,82 min,"Dramas, International Movies","An insomniac, an aspiring photographer and a pregnant veterinarian form a unique friendship during late-night meetings at a 24-hour mini-mart.",82
4356,Movie,Happy as Lazzaro,Alice Rohrwacher,Adriano Tardiolo,"Italy, Switzerland, France, Germany",2018-11-30,2018,PG-13,127 min,"Dramas, Independent Movies, International Movies","Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise's son will change his world.",127
4358,Movie,Manto,Nandita Das,Nawazuddin Siddiqui,India,2018-11-30,2018,TV-MA,114 min,"Dramas, Independent Movies, International Movies",The controversial and troubled Indo-Pakistani writer Saadat Hasan Manto finds his artistic choices challenged by censors.,114
4359,Movie,Rajma Chawal,Leena Yadav,Rishi Kapoor,India,2018-11-30,2018,TV-MA,119 min,"Comedies, Dramas, International Movies","Hoping to revive his relationship with his resentful millennial son, an internet-rookie widower assumes the online persona of a young woman.",119
4361,Movie,The World Is Yours,Romain Gavras,Isabelle Adjani,France,2018-11-30,2018,TV-MA,101 min,"Action & Adventure, Comedies, International Movies","To escape his life of crime, a Paris drug dealer takes on one last job involving Spain, unhinged gangsters, his longtime crush and his scheming mother.",101
4362,Movie,Time Share,Sebastián Hofmann,Luis Gerardo Méndez,"Mexico, Netherlands",2018-11-30,2018,TV-MA,96 min,"Dramas, Independent Movies, International Movies",Husband and father Pedro becomes increasingly suspicious that a series of mishaps at a resort during a family vacation are part of a sinister plan.,96
4365,Movie,My Little Pony Friendship Is Magic: Best Gift Ever,"Denny Lu, Mike Myhre",Tara Strong,United States,2018-11-25,2018,TV-Y,44 min,Children & Family Movies,"The ponies get in the spirit of the holidays by drawing names for a gift exchange, then race around Equestria in search of the perfect presents.",44
4370,Movie,The Christmas Chronicles,Clay Kaytis,Kurt Russell,United States,2018-11-22,2018,TV-PG,104 min,"Children & Family Movies, Comedies","After accidentally crashing Santa's sleigh, a brother and sister pull an all-nighter to save Christmas with a savvy, straight-talking St. Nick.",104
4371,Movie,The Tribe,Fernando Colomo,Paco León,Spain,2018-11-21,2018,TV-MA,91 min,"Comedies, International Movies","An executive-turned-viral sensation loses his reputation and his memory, but finds a new life with his biological mother and her empowered dance group.",91
4374,Movie,Puppy Star Christmas,Robert Vince,Kaitlyn Maher,"United States, Canada",2018-11-20,2018,PG,91 min,"Children & Family Movies, Comedies","A new pack of Pup Star pooches stumbles upon a rival team’s plan to ruin Christmas, then ends up at the North Pole to try and save the holiday spirit.",91
4375,Movie,Sabrina,Rocky Soraya,Luna Maya,Indonesia,2018-11-20,2018,TV-MA,114 min,"Horror Movies, International Movies",A toy manufacturer and his wife are terrorized by a demon after their orphaned niece tries to summon her late mother's spirit using a spooky ritual.,114
4376,Movie,Target,Raditya Dika,Raditya Dika,Indonesia,2018-11-20,2018,TV-14,91 min,"Comedies, Horror Movies, International Movies","Trapped in an empty building, nine people are forced to play a lethal game. All their movements will be recorded, and only one player can survive.",91
4378,Movie,Trevor Noah: Son of Patricia,David Paul Meyer,Trevor Noah,United States,2018-11-20,2018,TV-MA,64 min,Stand-Up Comedy,"""Daily Show"" host Trevor Noah touches on tacos, runaway snakes, camping, racism immunity and lessons he learned from his mother in this comedy special.",64
4379,Movie,The Pixar Story,Leslie Iwerks,Stacy Keach,United States,2018-11-18,2007,G,89 min,Documentaries,Go behind the scenes at Pixar Animation Studios with this Emmy-nominated documentary tracing the creation and history of the groundbreaking company.,89
4383,Movie,Cam,Daniel Goldhaber,Madeline Brewer,United States,2018-11-16,2018,TV-MA,95 min,"Horror Movies, Independent Movies, Thrillers","After a look-alike takes over her account, a cam girl with a growing fan base sets out to identify the mysterious culprit and reclaim her own identity.",95
4384,Movie,Nothing to Hide,Fred Cavayé,Bérénice Bejo,"France, Belgium",2018-11-16,2018,TV-MA,94 min,"Comedies, Dramas, International Movies","To spice up a dinner party, old friends agree to share every private message that pops up on their phones – with disastrous results.",94
4386,Movie,The Ballad of Buster Scruggs,"Joel Coen, Ethan Coen",Liam Neeson,United States,2018-11-16,2018,R,133 min,"Comedies, Dramas","Ranging from absurd to profound, these Western vignettes from the Coen brothers follow the adventures of outlaws and settlers on the American frontier.",133
4389,Movie,Aalorukkam,V C Abhilash,Indrans,India,2018-11-15,2018,TV-PG,122 min,"Dramas, Independent Movies, International Movies","When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths.",122
4391,Movie,Christmas Wedding Planner,Justin G. Dyck,Stephen Huszar,Canada,2018-11-15,2017,PG,86 min,"Comedies, International Movies, Romantic Movies",A wedding planner’s world is turned upside down when a handsome private investigator is hired to disrupt one of her biggest jobs.,86
4392,Movie,Halkaa,Nila Madhab Panda,Tathastu,India,2018-11-15,2018,TV-14,111 min,"Comedies, Dramas, Independent Movies","Up against a corrupt government official and crushing poverty, a young boy in the Delhi slums attempts to raise funds to build himself his own toilet.",111
4393,Movie,May the Devil Take You,Timo Tjahjanto,Chelsea Islan,Indonesia,2018-11-15,2018,TV-MA,111 min,"Horror Movies, International Movies","Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past.",111
4394,Movie,Muzaffarnagar Baaqi Hai,Nakul Singh Sawhney,Unknown,India,2018-11-15,2015,TV-MA,136 min,"Documentaries, International Movies","Through interviews with locals, this documentary investigates the triggers and outcomes of the 2013 communal riots in the heart of Uttar Pradesh.",136
4395,Movie,Odu Raja Odu,"Nishanth Ravindaran, Jathin Sanker Raj",Guru Somasundaram,India,2018-11-15,2018,TV-14,121 min,"Comedies, Independent Movies, International Movies","While trying to buy his wife a set-top box, a struggling writer and his pal get entangled in the domino effect of a spectacularly botched drug deal.",121
4396,Movie,Savita Damodar Paranjpe,Swapna Waghmare Joshi,Subodh Bhave,India,2018-11-15,2018,TV-14,119 min,"Horror Movies, International Movies","When his wife begins to exhibit alarming behavior, a husband tries to find whether she suffers from a personality disorder or something more sinister.",119
4397,Movie,The Giant,"Aitor Arregi, Jon Garaño",Joseba Usabiaga,Spain,2018-11-15,2017,TV-14,115 min,"Dramas, International Movies","In 1843, crippled Martin returns from war to his Basque hometown and finds his brother has grown into a giant, which they turn into a circus act.",115
4398,Movie,BuyBust,Erik Matti,Anne Curtis,Philippines,2018-11-13,2018,TV-MA,128 min,"Action & Adventure, International Movies","In a mazelike Manila slum, at war with incensed civilians and a brutal cartel, special agent Nina Manigan must fight her way through one fierce night.",128
4402,Movie,"All's Well, End's Well (2009)",Vincent Kok,Louis Koo,Hong Kong,2018-11-09,2009,TV-14,99 min,"Comedies, International Movies, Romantic Movies","Bound by a family rule that forbids him from marrying until his stubborn sister gets hitched, a bachelor enlists the help of a love guru to woo her.",99
4403,Movie,Lommbock,Christian Zübert,Lucas Gregorowicz,Germany,2018-11-09,2017,TV-MA,106 min,"Comedies, International Movies","After finding love in drug-free Dubai, Stefan returns to Germany to grab documents for his wedding. But old buddy Kai's bad habits complicate things.",106
4405,Movie,Outlaw King,David Mackenzie,Chris Pine,"United Kingdom, United States",2018-11-09,2018,R,122 min,"Action & Adventure, Dramas","In 14th-century Scotland, Robert the Bruce claims the crown and leads a fierce uprising to win back the country's independence from English rule.",122
4412,Movie,Bucket List,Tejas Prabha Vijay Deoskar,Madhuri Dixit,India,2018-11-05,2018,TV-14,129 min,"Dramas, International Movies","After getting a heart transplant, a 40-year-old homemaker in Pune makes the life-changing decision to complete the bucket list of her 20-year-old donor.",129
4415,Movie,Ana e Vitória,Matheus Souza,Ana Caetano,Brazil,2018-11-02,2018,TV-MA,116 min,"Comedies, International Movies, LGBTQ Movies","After meeting by chance, two young musicians with differing views on love and life record an album that drastically alters their lives.",116
4417,Movie,ReMastered: Tricky Dick & The Man in Black,Sara Dosa,Unknown,United States,2018-11-02,2018,TV-14,59 min,"Documentaries, Music & Musicals","This documentary chronicles Johnny Cash's 1970 visit to the White House, where Cash's emerging ideals clashed with Richard Nixon's policies.",59
4418,Movie,The Holiday Calendar,Bradley Walsh,Kat Graham,United States,2018-11-02,2018,TV-G,95 min,"Dramas, Romantic Movies",A talented photographer stuck in a dead-end job inherits an antique Advent calendar that may be predicting the future – and pointing her toward love.,95
4419,Movie,The Other Side of the Wind,Orson Welles,John Huston,"France, Iran, United States",2018-11-02,2018,R,122 min,"Classic Movies, Dramas, Independent Movies","On the last day of his life, a legendary director struggles to complete a new project and contemplates his legacy in this layered film by Orson Welles.",122
4420,Movie,They’ll Love Me When I’m Dead,Morgan Neville,Orson Welles,United States,2018-11-02,2018,TV-MA,98 min,Documentaries,"Actors, crew members and others who were there discuss the tumultuous creation of Orson Welles's final, unfinished film, “The Other Side of the Wind.”",98
4421,Movie,Aagey Se Right,Indrajit Nattoji,Shreyas Talpade,India,2018-11-01,2009,TV-14,117 min,"Comedies, International Movies, Music & Musicals","A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it.",117
4422,Movie,Aamir,Raj Kumar Gupta,Rajeev Khandelwal,India,2018-11-01,2008,TV-14,95 min,"International Movies, Thrillers","In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order.",95
4423,Movie,ABCD 2,Remo D'Souza,Prabhu Deva,India,2018-11-01,2015,TV-14,146 min,"Dramas, International Movies, Music & Musicals","After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship.",146
4424,Movie,ABCD: Any Body Can Dance,Remo D'Souza,Prabhu Deva,India,2018-11-01,2013,TV-14,136 min,"Dramas, International Movies","Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest.",136
4425,Movie,Arjun: The Warrior Prince,Arnab Chaudhuri,Yudhveer Bakoliya,India,2018-11-01,2011,TV-14,91 min,"Action & Adventure, Dramas, International Movies",This animated retelling of the classic Indian tale of Prince Arjun – part of the Sanskrit epic Mahabharata – begins during the prince's youth.,91
4426,Movie,Asees,Rana Ranbir,Rana Ranbir,India,2018-11-01,2018,TV-14,123 min,"Dramas, International Movies, Music & Musicals","When a dispute breaks out between five siblings over their mother’s property, one devoted son will go to any lengths to protect her land.",123
4427,Movie,Barfi!,Anurag Basu,Ranbir Kapoor,India,2018-11-01,2012,TV-14,144 min,"Comedies, Dramas, International Movies","Years after rejecting Barfii, a hearing and speech impaired young man, for a more ""appropriate"" suitor, Shruti finds herself falling for him.",144
4428,Movie,Chance Pe Dance,Ken Ghosh,Shahid Kapoor,India,2018-11-01,2010,TV-14,121 min,"Comedies, Dramas, International Movies","Having risen from humble beginnings, an ambitious young man sets his sights on winning a major dance competition that could catapult him to fame.",121
4429,Movie,Christmas With A View,Justin G. Dyck,Scott Cavalheiro,Canada,2018-11-01,2018,TV-PG,91 min,"International Movies, Romantic Movies","Still reeling from a business failure, the restaurant manager of a ski resort finds her world jolted by a new chef, who has his own hidden past.",91
4430,Movie,Chup Chup Ke,"Priyadarshan, Kookie V. Gulati",Shahid Kapoor,India,2018-11-01,2006,TV-14,158 min,"Comedies, Dramas, International Movies","Mistaking a broke, small-time hustler for a millionaire, two bumbling fishermen hatch a scheme to use him to help pay off their debts.",158
4432,Movie,Dhan Dhana Dhan Goal,Vivek Agnihotri,John Abraham,"United Kingdom, India",2018-11-01,2007,TV-14,157 min,"Dramas, International Movies, Music & Musicals","In a last-ditch effort, the jaded coach of the Southall United Football Club assembles a ragtag team and helps lead the team to a comeback season.",157
4433,Movie,Dhoondte Reh Jaoge,Umesh Shukla,Paresh Rawal,India,2018-11-01,2009,TV-14,124 min,"Comedies, International Movies, Music & Musicals","An accountant and a producer hatch a scheme to finance a movie, while making every effort to ensure that it flops so they may pocket the difference.",124
4434,Movie,Do Dooni Chaar,Habib Faisal,Rishi Kapoor,India,2018-11-01,2010,TV-PG,106 min,"Comedies, International Movies","A struggling math teacher holds down a second job to keep his family afloat. But when he receives a wedding invitation, he's determined to attend.",106
4435,Movie,Edge of Fear,Bobby Roth,Shen Lin,United States,2018-11-01,2018,TV-MA,92 min,"Independent Movies, Thrillers","During a wilderness getaway, a gang of sociopathic criminals kidnap a woman and assault her husband, who must summon all his strength to save her.",92
4436,Movie,"Edmilson Filho: Notas, Comedy about Relationships",Halder Gomes,Edmilson Filho,Brazil,2018-11-01,2017,TV-MA,80 min,Stand-Up Comedy,"Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women.",80
4438,Movie,Gaddar: the Traitor,Amitoj Mann,Harbhajan Mann,India,2018-11-01,2015,TV-14,126 min,"Dramas, International Movies, Thrillers",An Indian man who has become a major business mogul in Canada must return to his homeland where he's reviled due to being wrongly branded a traitor.,126
4439,Movie,Ghanchakkar,Raj Kumar Gupta,Emraan Hashmi,India,2018-11-01,2013,TV-MA,129 min,"Comedies, International Movies, Thrillers","Former con artist Sanju surrounds himself with the finer things, a blissful life troubled by only one thing: his wife, who wants even more.",129
4440,Movie,Grandmaster,B. Unnikrishnan,Mithra Kurian,India,2018-11-01,2012,TV-14,133 min,"International Movies, Thrillers","Anticipating the next move in a serial killer's grisly game, a police chief realizes that his daughter and estranged wife are the next likely victims.",133
4441,Movie,Hattrick,Milan Luthria,Nana Patekar,India,2018-11-01,2007,TV-14,109 min,"Comedies, Dramas, International Movies",Stories of personal victories coincide with Team India's battle for the Cricket World Cup in this engaging ensemble drama.,109
4442,Movie,Heroine,Madhur Bhandarkar,Kareena Kapoor,India,2018-11-01,2012,TV-MA,143 min,"Dramas, International Movies",One woman experiences the dramatic highs and lows of fame in this voyeuristic glimpse past the glitz and glamour of a Bollywood superstar's life.,143
4443,Movie,Himmatwala,Sajid Khan,Ajay Devgn,India,2018-11-01,2013,TV-14,140 min,"Action & Adventure, Comedies, International Movies",A young man returns to his native village on a mission of vengeance after his father commits suicide in the wake of false accusations.,140
4444,Movie,Husbands in Goa,Saji Surendran,Jayasurya,India,2018-11-01,2012,TV-14,150 min,"Comedies, International Movies, Music & Musicals","Three professional friends, all husbands living with domineering wives, take a well-deserved vacation in the resort city of Goa.",150
4445,Movie,Jatts in Golmaal,Ksshitij Chaudhary,Arya Babbar,India,2018-11-01,2013,TV-PG,128 min,"Comedies, International Movies, Music & Musicals","Without fully realizing the consequences, a boy who wants to relocate from India to Canada sells his heart to a gangster in need of a transplant.",128
4446,Movie,Kai Po Che!,Abhishek Kapoor,Rajkummar Rao,India,2018-11-01,2013,TV-MA,120 min,"Dramas, International Movies, Sports Movies",This Bollywood drama tells the story of three best friends who dream of starting a cricket training academy in Ahmedabad for very different reasons.,120
4447,Movie,Kalakalappu,Sundar C.,Vimal,India,2018-11-01,2012,TV-14,154 min,"Comedies, International Movies, Music & Musicals","Cheenu dreams of resurrecting the restaurant he has inherited to its former glory, but his brother, a compulsive gambler, loses the place to a cop.",154
4448,Movie,Katt Williams: The Pimp Chronicles: Pt. 1,Gary Binkow,Katt Williams,United States,2018-11-01,2006,TV-MA,45 min,Stand-Up Comedy,"In this 2006 show, comic Katt Williams uses his edgy style and personal experiences to paint a sassy, hilarious portrait of life in black America.",45
4449,Movie,Katti Batti,Nikhil Advani,Imran Khan,India,2018-11-01,2015,TV-14,132 min,"Comedies, Dramas, International Movies","After falling in love during college, architect Maddy and free spirit Payal have five wonderful years together, until a mystery suddenly divides them.",132
4450,Movie,Life in a ... Metro,Anurag Basu,Dharmendra,India,2018-11-01,2007,TV-14,126 min,"Dramas, International Movies, Music & Musicals",A group of Mumbai up-and-comers search for love and struggle for success in this ensemble drama that centers on an eager young call-center executive.,126
4451,Movie,Marc Maron: Thinky Pain,Lance Bangs,Marc Maron,United States,2018-11-01,2013,TV-MA,95 min,Stand-Up Comedy,"Alternative comic Marc Maron is back on stage in New York to talk Chinese food, drug abuse, sex in hotel rooms and life with his girlfriend.",95
4452,Movie,Mumbai Meri Jaan,Nishikant Kamat,Madhavan,India,2018-11-01,2008,TV-MA,135 min,"Dramas, International Movies","A moving portrayal of the 2006 train bombings in Mumbai, this Indian drama follows the interconnected stories of several strangers.",135
4453,Movie,Mundeyan Ton Bachke Rahin,Navinder Pal Singh,Roshan Prince,India,2018-11-01,2014,TV-14,139 min,"Comedies, International Movies, Music & Musicals","When they both fall for the same girl, best pals and shameless womanizers Prince and Jassi go head-to-head to compete for her love.",139
4454,Movie,No One Killed Jessica,Raj Kumar Gupta,Rani Mukerji,India,2018-11-01,2011,TV-MA,131 min,"Dramas, International Movies",This thriller tells the true story of model Jessica Lall – who was shot dead in a restaurant – and the campaign to bring her killer to justice.,131
4455,Movie,Oye Lucky! Lucky Oye!,Dibakar Banerjee,Abhay Deol,India,2018-11-01,2008,TV-14,118 min,"Comedies, Dramas, International Movies","Starting as a petty thief, a man rises to become one of the city's biggest operators and carves out the kind of lifestyle he'd once only dreamed of.",118
4456,Movie,Paan Singh Tomar,Tigmanshu Dhulia,Irrfan Khan,India,2018-11-01,2010,TV-14,129 min,"Action & Adventure, Dramas, International Movies",Paan Singh Tomar goes from celebrated runner to star brigand and rebel when life after sports fails to unfold as planned.,129
4457,Movie,Raja Natwarlal,Kunal Deshmukh,Emraan Hashmi,India,2018-11-01,2014,TV-14,131 min,"Dramas, International Movies, Thrillers",A small-time con man assembles a team to help him avenge the death of his partner-in-crime at the hands of a powerful gangster.,131
4458,Movie,Satyagraha,Prakash Jha,Kareena Kapoor,India,2018-11-01,2013,TV-14,146 min,"Dramas, International Movies, Music & Musicals","In this Bollywood drama, a corporate go-getter sees his priorities shift when personal tragedy brings him face-to-face with political corruption.",146
4459,Movie,Settai,R. Kannan,Arya,India,2018-11-01,2013,TV-14,123 min,"Comedies, International Movies, Music & Musicals","Asked to deliver a package for a friend, Madhu gets her fiancé, Jayaganthan, to take care of it, and he then passes the task to one of his roommates.",123
4460,Movie,Sigaram Thodu,Gaurav Narayanan,Vikram Prabhu,India,2018-11-01,2014,TV-14,141 min,"Dramas, International Movies, Thrillers",A policeman's son overcomes his reluctance to join the force following a brutal attack on his father and ends up in the middle of a robbery case.,141
4461,Movie,Sommore: The Reign Continues,Kevin Layne,Sommore,United States,2018-11-01,2015,TV-MA,93 min,Stand-Up Comedy,"Self-proclaimed ""Queen of Comedy"" Sommore storms the stage to deliver a riotous stand-up performance in Charlotte, North Carolina.",93
4463,Movie,The Untold Tales of Armistead Maupin,Jennifer M. Kroot,Armistead Maupin,United States,2018-11-01,2017,TV-MA,91 min,"Documentaries, LGBTQ Movies","This documentary traces the life of ""Tales of the City"" author Armistead Maupin, from his conservative roots to his rise as an LGBTQ champion.",91
4464,Movie,Vaya,Akin Omotoso,Mncedisi Shabangu,South Africa,2018-11-01,2016,TV-MA,106 min,"Dramas, Independent Movies, International Movies","Three youths from rural South Africa set out for Johannesburg, where they're thrust into the seedy underbelly of the city and must fight to survive.",106
4465,Movie,Welcome to Sajjanpur,Shyam Benegal,Shreyas Talpade,India,2018-11-01,2008,TV-14,131 min,"Comedies, Dramas, International Movies","An educated man assists the illiterate residents of his village with written correspondence, sometimes manipulating the letters to suit his interests.",131
4467,Movie,Zokkomon,Satyajit Bhatkal,Darsheel Safary,India,2018-11-01,2011,PG,104 min,"Children & Family Movies, Dramas","When his cruel uncle abandons him, a young orphan learns to access the untapped superpowers that have been waiting within him all along.",104
4468,Movie,Gun City,Dani de la Torre,Luis Tosar,"Spain, France",2018-10-31,2018,TV-MA,126 min,"Dramas, International Movies, Thrillers","In 1921 Barcelona, amid unrest between anarchists and the police, a cop plays both sides to learn who stole army weapons that could ignite a civil war.",126
4469,Movie,Heneral Luna,Jerrold Tarog,John Arcilla,Philippines,2018-10-31,2015,R,118 min,"Dramas, International Movies",Flashbacks reveal Gen. Antonio Luna's tireless fight for Filipino independence from the U.S. and his leadership in the Philippine-American War in 1899.,118
4471,Movie,Dragon Tiger Gate,Wilson Yip,Donnie Yen,"Hong Kong, China",2018-10-27,2006,TV-14,94 min,"Action & Adventure, International Movies",Dragon and his fellow students at Dragon Tiger Gate martial arts school team up to battle the ferocious villain Shibumi.,94
4473,Movie,Dovlatov,Aleksey German,Milan Maric,"Russia, Poland, Serbia",2018-10-26,2018,PG-13,126 min,"Dramas, International Movies","Over six days in 1971, brilliant writer Sergei Dovlatov encounters maddening barriers to publishing his work under the repressive Soviet regime.",126
4474,Movie,Jefe,Sergio Barrejón,Luis Callejo,"Spain, Portugal",2018-10-26,2018,TV-MA,90 min,"Comedies, Dramas, International Movies","A rude, self-centered businessman seems to be on the brink of losing everything until a night janitor at his office helps him find redemption.",90
4476,Movie,Shirkers,Sandi Tan,Unknown,"United States, United Kingdom",2018-10-26,2018,TV-14,97 min,Documentaries,"In 1992, Sandi Tan and her friends shot a quirky film on the streets of Singapore. Then the footage disappeared, sending her on a hunt for answers.",97
4478,Movie,W/O Ram,Vijay Yelakanti,Lakshmi Manchu,India,2018-10-26,2018,TV-MA,115 min,"Dramas, International Movies, Thrillers","Frustrated with the stalled investigation into her husband's murder, a woman searches for the killer on her own, putting herself in grave danger.",115
4481,Movie,Ronnie Coleman: The King,Vlad Yudin,Ronnie Coleman,United States,2018-10-25,2018,TV-MA,93 min,Documentaries,"Today, legendary bodybuilder Ronnie Coleman's body bears the scars of becoming the best in the world. Here, he shares what it took to reach his goals.",93
4483,Movie,ADAM SANDLER 100% FRESH,Steve Brill,Adam Sandler,United States,2018-10-23,2018,TV-MA,74 min,Stand-Up Comedy,"From ""Heroes"" to ""Ice Cream Ladies"" – Adam Sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way.",74
4485,Movie,Scorpion King 5: Book of Souls,Don Michael Paul,Zach McGowan,United States,2018-10-23,2018,PG-13,102 min,"Action & Adventure, Sci-Fi & Fantasy",The Scorpion King joins forces with a Nubian princess in an all-or-nothing fight to stop a warlord from claiming the souls of the vanquished.,102
4487,Movie,How to Get Over a Breakup,"Joanna Lombardi, Bruno Ascenzo",Gisela Ponce de León,Peru,2018-10-20,2018,TV-MA,104 min,"Comedies, International Movies, Romantic Movies","A heartbroken ad copywriter living in Lima, Peru, is inspired to write a blog about life as a single woman and is surprised by her website's success.",104
4491,Movie,"Club de Cuervos Presents: I, Potro",Marcos Bucay,Joaquín Ferreira,"Mexico, Argentina",2018-10-19,2018,TV-MA,51 min,Movies,Former Club de Cuervos player Potro returns home to Argentina to crash the wedding of his famous soccer-star brother and confront his estranged family.,51
4493,Movie,Gnome Alone,Peter Lepeniotis,Becky G.,"United Kingdom, Canada, United States, Cayman Islands",2018-10-19,2018,PG,86 min,"Children & Family Movies, Comedies","After moving into a new house with her mom, high schooler Chloe discovers a troupe of talking garden gnomes who need her help saving the world.",86
4494,Movie,Illang: The Wolf Brigade,Kim Jee-woon,Gang Dong-won,South Korea,2018-10-19,2018,TV-MA,140 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy","In 2029, the elite police squad Illang combats a terrorist group opposing reunification of the two Koreas. But another enemy may be lurking nearby.",140
4497,Movie,Naa Bangaaru Talli,Rajesh Touchriver,Siddique,India,2018-10-19,2013,TV-14,122 min,"Dramas, International Movies","A father leading a dark double life and his daughter, who's eager to pursue her studies in Hyderabad, face the tragic consequences of sex trafficking.",122
4500,Movie,S Storm,David Lam,Louis Koo,"Hong Kong, China",2018-10-19,2016,TV-MA,95 min,"Action & Adventure, International Movies",Anti-corruption investigator William Luk must join forces with detective Lau Po-keung to bring down a crime syndicate involved in sports betting.,95
4501,Movie,The Night Comes for Us,Timo Tjahjanto,Joe Taslim,"Indonesia, United States",2018-10-19,2018,TV-MA,121 min,"Action & Adventure, International Movies","After sparing a girl's life during a massacre, an elite Triad assassin is targeted by an onslaught of murderous gangsters.",121
4503,Movie,Mr. Chandramouli,Thiru,Karthik,India,2018-10-18,2018,TV-MA,131 min,"Dramas, International Movies, Thrillers","When the lives of a carefree boxer and his cabdriver dad collide with the ambitions of a ruthless businessman, a search for answers turns to revenge.",131
